id,L,n_models,ens_std_mean,ens_std_max,err_mean,err_max,spearman_rho,spearman_p
7QR3,69,80,3.4591705047881263,6.782093429522332,3.460108005723818,8.092014774724646,0.2168432590427476,0.07350388959061024
9DE7,57,80,0.8249064422699687,1.3715514455162108,2.5968972220519153,6.0842277270175655,0.4931293751620431,9.727096380610826e-05
9HRD,67,80,3.3053839627669626,5.344897398639695,4.7078093539522685,17.425232600956058,0.18261633011413522,0.13910872485814982
9HRF,70,80,4.903024861651712,8.029302945201131,6.817976667066295,20.116154272066535,0.3307672119674569,0.005161853995544676
9J4N,81,80,0.5568141666175724,2.973022617405623,2.8949877768942773,9.503326989668913,0.6642276422764227,1.3789963349567989e-11
9E9O,101,80,3.0080150993127157,5.509297040961957,3.991121447505063,9.125887946553622,0.42955154338963303,7.375840968910951e-06
9MFH,76,80,4.033927915008474,5.90847314598108,6.376252239274761,13.507713735302845,0.01722488038277512,0.8825911621743103
9LJN,71,80,0.6675096246317411,1.1947918743572197,3.2328601918723434,11.624570817365951,0.5807176391683433,1.1031202758678125e-07
9LKE,70,80,0.5835542478981816,0.953493220880545,3.316071614576431,11.82174405920103,0.5981803866678331,4.540220670616774e-08
9LKU,63,80,0.8641276214027315,2.9892588973693033,1.6055942326055417,5.28135218519021,0.31245199692780345,0.012662912047847242
9UW0,63,80,0.8641276214027315,2.9892588973693033,1.7843096710809372,5.133239949386582,0.25446428571428575,0.0441605108296119
12CI,82,80,4.702698614560739,7.690327064299981,15.449550309856654,46.90285246532907,0.4277162851949805,6.121989742924924e-05
